t,n,Direct,Hybrid,Speedup,Err_H,n_components,block_score
0.5,200,0.003113116999156773,0.009095304600486997,0.3422773767235992,0.0,1,0.5656021382778339
1.0,200,0.0029485679988283664,0.008541122800670565,0.34522018564080054,0.0,1,0.6222588440232099
2.0,200,0.001518827598192729,0.006974649800395127,0.21776399413009734,0.026364414861641962,3,0.7302543860413515
3.0,200,0.0019565354014048353,0.008490865599014796,0.23042826182902412,0.030791901803828944,5,0.8097906321494526
5.0,200,0.0018706702001509256,0.005986483200103976,0.3124823268723839,0.035852130955878074,11,0.9025454723709179
7.0,200,0.001863321801647544,0.00714231799938716,0.26088474383350396,0.04262089772658499,23,0.9270415490323729
10.0,200,0.0018831637979019433,0.010033762601960917,0.18768271411304002,0.06949948594683358,47,0.9548326990880504
15.0,200,0.0018175623990828171,0.010216888200375251,0.1778978455510613,0.09406985172767993,111,0.9722693334695027
20.0,200,0.0016428113987785764,0.014640478197543416,0.11221022815048694,0.06103140200849103,145,0.9859290134051665
