n,t,Direct,Hybrid,Hybrid+C,Speedup_H,Err_H,Err_HC,n_components,block_score,mag_direct,mag_hybrid
50,5.0,0.0005524364009033888,0.002210232400102541,0.005333713997970335,0.24994493831407016,0.05711204789181504,0.7064777887247501,7,0.8305757963940521,22.388365413196038,23.667010810893945
100,5.0,0.0006659787977696396,0.002759218798018992,0.00551772839971818,0.24136498281607302,0.03623998133581159,0.7647304321168955,9,0.8834497992260485,37.82747835264712,39.19834546212787
150,5.0,0.0018280661999597215,0.004767002799781039,0.009754373801115435,0.38348334933717454,0.03637030922505789,0.7936452945002045,10,0.9018156028611208,47.50096146089231,49.228586117712524
200,5.0,0.002656509600637946,0.007430358001147397,0.01224634859681828,0.3575210777499183,0.035852130955878074,0.8086472044871961,11,0.9025454723709179,55.23574961415408,57.216068942766825
300,5.0,0.0067142633983166885,0.01370202060061274,0.013298978201055434,0.49001994625642536,0.02475284929192132,0.824018828062412,12,0.9012452521605571,67.21015839309253,68.87380131468291
400,5.0,0.01252919799881056,0.015386597999895456,0.028447961997881067,0.8142929319980732,0.036588044116056206,0.8229521373942281,14,0.9181914047863954,75.49112054769407,78.25319299666361
500,5.0,0.02254553439997835,0.021523166800034233,0.06063117520097876,1.0475007980676194,0.03007758105583126,0.8260991269767883,15,0.9221810751181442,82.61797036795676,85.10291906836724
