dataset,Direct,Hybrid,Speedup,Err_H,n_components,mag_direct
Gaussian,0.0011777317995438352,0.005079387601290364,0.2318649199452007,0.03637030922505789,10,47.50096146089231
Clusters,0.0014368454008945263,0.005753299998468719,0.24974282607841633,0.03763971915576036,9,51.78244122618145
Uniform,0.00091188820078969,0.008381911998731085,0.1087923854280191,0.10259701818885329,31,81.87755286984023
Ring,0.0013643697995576077,0.004970265201700385,0.27450643862843394,0.020383146587436823,7,58.546388929261354
