epoch,val_accuracy,val_loss,val_auc,val_micro,val_macro,val_cce,val_mse
1,0.08266666666666667,2.1075899017618056,0.5392645597457886,0.08266666531562805,0.07121428847312927,2.308450757189,0.09020240763400464
2,0.099,2.088700479649483,0.6286019086837769,0.0989999994635582,0.09587594121694565,2.2707925755926905,0.08945218545008213
3,0.12466666666666666,2.0762862829451865,0.7073954343795776,0.12466666847467422,0.1263456642627716,2.2453349727265377,0.08891213043256009
4,0.14866666666666667,2.067204292784346,0.7647129893302917,0.14866666495800018,0.1627446562051773,2.227273276511659,0.0885211501983886
5,0.17366666666666666,2.0598702633634525,0.803398609161377,0.17366667091846466,0.20253689587116241,2.2125376564391117,0.08818598844586535
6,0.19733333333333333,2.0536316886861274,0.8313066363334656,0.19733333587646484,0.2437596321105957,2.1999420688507403,0.08789009220422582
7,0.214,2.047729200505196,0.8503146171569824,0.21400000154972076,0.267113596200943,2.187856981094847,0.08759006857872009
8,0.23033333333333333,2.0420911261375916,0.863635241985321,0.2303333282470703,0.29133468866348267,2.176133394241333,0.08728149422305695
9,0.235,2.036833032648614,0.8731335401535034,0.23499999940395355,0.2978728711605072,2.1653518118756883,0.08699055467831328
10,0.23933333333333334,2.0313822639749404,0.8801666498184204,0.23933333158493042,0.3051292896270752,2.1541685677589255,0.08667530721806466
11,0.24433333333333335,2.0257684854750937,0.8859246969223022,0.24433332681655884,0.31448647379875183,2.143389509079304,0.08637049540560296
12,0.258,2.0195747309542718,0.8899794816970825,0.257999986410141,0.33514314889907837,2.1319832522818385,0.08603222026152814
13,0.2613333333333333,2.013274015264308,0.8930918574333191,0.2613333463668823,0.33599773049354553,2.1201045525834914,0.08568226585679865
14,0.2683333333333333,2.0061353191416313,0.8958414793014526,0.2683333456516266,0.3443109095096588,2.1059952479727726,0.08525402415940102
15,0.275,1.9985194409147222,0.8978778123855591,0.2750000059604645,0.35046684741973877,2.091687464967687,0.08479892708202626
16,0.2836666666666667,1.990165763712944,0.8996408581733704,0.2836666703224182,0.35634589195251465,2.0780580601793655,0.0843417893381829
17,0.2843333333333333,1.981313238752649,0.9004653096199036,0.28433331847190857,0.35078299045562744,2.0613424676529903,0.08376191025401683
18,0.286,1.972375101231514,0.902144730091095,0.28600001335144043,0.34821242094039917,2.044860564647837,0.08318623924191962
19,0.291,1.9629951867651432,0.9036458730697632,0.29100000858306885,0.35122841596603394,2.0290947201404164,0.08260690159303077
20,0.291,1.954522891247526,0.9050276875495911,0.29100000858306885,0.34873276948928833,2.0135433610449445,0.08204180977128922
21,0.2956666666666667,1.9463333069009985,0.9063752889633179,0.2956666648387909,0.35189351439476013,1.997163343936839,0.08144715309460113
22,0.30033333333333334,1.9383061084341495,0.9087726473808289,0.30033332109451294,0.3591691255569458,1.9803635148291892,0.08086015109686141
23,0.308,1.9299638169877074,0.9112180471420288,0.30799999833106995,0.36924874782562256,1.9610066261697323,0.08025092298680163
24,0.31333333333333335,1.921855515622078,0.9136511087417603,0.31333333253860474,0.37468332052230835,1.9402041080150199,0.07956925557648882
25,0.318,1.9135547774903319,0.9162007570266724,0.3179999887943268,0.38056081533432007,1.9195473320940708,0.07890432351764212
26,0.32166666666666666,1.9060863992001147,0.918391227722168,0.3216666579246521,0.3860304355621338,1.8988837802663763,0.07828881742155298
27,0.327,1.8984388214476564,0.9217063784599304,0.3269999921321869,0.39578232169151306,1.8764076664092693,0.07763084729618215
28,0.3313333333333333,1.891700364173727,0.9243279695510864,0.33133333921432495,0.4029311239719391,1.850937525008587,0.07690532140909358
29,0.3383333333333333,1.8850371076705608,0.9266252517700195,0.3383333384990692,0.4119659662246704,1.8268194515654381,0.07620489676582053
30,0.345,1.877122846055538,0.9294692277908325,0.3449999988079071,0.4208332896232605,1.803224615594174,0.07553594012526756
31,0.35,1.8694078009179298,0.9319235682487488,0.3499999940395355,0.42765218019485474,1.774516851344007,0.07473118282220464
32,0.35933333333333334,1.8621146628197203,0.9338811635971069,0.359333336353302,0.43740302324295044,1.7452616704271195,0.07390230838605698
33,0.36433333333333334,1.8553953982414084,0.9353968501091003,0.3643333315849304,0.4397495687007904,1.7148371047161994,0.07302360006786407
34,0.383,1.846609374310108,0.9382591247558594,0.382999986410141,0.45665451884269714,1.6801587064215477,0.07205851205644455
35,0.4033333333333333,1.8401507824025256,0.9395475387573242,0.4033333361148834,0.4690377712249756,1.6433542180568614,0.07102397215017613
36,0.42766666666666664,1.8329389146033754,0.9419152140617371,0.42766666412353516,0.4889151453971863,1.6077197637963803,0.06998401832707385
37,0.4563333333333333,1.8261450579825869,0.9429205060005188,0.45633333921432495,0.5080176591873169,1.5733273942419823,0.06892288222591927
38,0.496,1.8192149476802095,0.9448050260543823,0.4959999918937683,0.5317751169204712,1.5353192319261266,0.06777848152721182
39,0.528,1.8117635960274554,0.9463531374931335,0.527999997138977,0.5498231649398804,1.4973764267373593,0.06656282609130473
40,0.5733333333333334,1.8023208658745948,0.9488874673843384,0.5733333230018616,0.5775021314620972,1.4574432258910321,0.06521486007469765
