n,t,Direct,Hybrid,Speedup,Err,n_comp,max_comp
200,2.0,0.0014769010012969375,0.006351358999381773,0.23253306913381777,0.026364414861641962,3,198
200,3.0,0.0016758880010456778,0.006870122000691481,0.24393860849588972,0.030791901803828944,5,194
200,5.0,0.0013384080011746846,0.0058388030010974035,0.22922643578197976,0.035852130955878074,11,184
200,7.0,0.0015312440009438433,0.006205060999491252,0.24677340014375182,0.04262089772658499,23,168
200,10.0,0.001572919005411677,0.006798784001148306,0.23135298976199464,0.06949948594683358,47,121
200,15.0,0.0017128520048572682,0.008923588000470772,0.19194655835375918,0.09406985172767993,111,9
200,20.0,0.0013593070034403354,0.008949662005761638,0.15188361332140107,0.06103140200849103,145,7
300,2.0,0.004161277996900026,0.010445127001730725,0.3983941981950545,0.0,1,300
300,3.0,0.003740956002729945,0.00975031399866566,0.3836754388875987,0.01498434808174848,3,297
300,5.0,0.003877192997606471,0.009271219998481683,0.41819663412597546,0.03383500515823147,15,280
300,7.0,0.004957992001436651,0.01007329199637752,0.49219182797635624,0.04634795850242475,28,250
300,10.0,0.0038407659958465956,0.010767915999167599,0.3566861030624219,0.06360572142645146,59,192
300,15.0,0.0059654600045178086,0.009721360002004076,0.6136445932758399,0.08511569268696266,127,29
300,20.0,0.003700525005115196,0.011031551999622025,0.33544917390064316,0.07321602326601745,180,9
500,2.0,0.01824179300456308,0.029905964001955,0.6099717435415419,0.0,1,500
500,3.0,0.01644725700316485,0.02953291200537933,0.5569128096873425,0.005569335432105802,2,499
500,5.0,0.016035012995416764,0.02342395400046371,0.6845562023857855,0.043186198519302194,19,476
500,7.0,0.015241995999531355,0.024404755000432488,0.6245502566717529,0.022039566468563643,28,468
500,10.0,0.014886978999129497,0.02082297299784841,0.714930524121975,0.05898788571447427,64,370
500,15.0,0.015323779000027571,0.02039544100261992,0.7513335454751451,0.08059415530007566,152,219
500,20.0,0.015701379998063203,0.022109295998234302,0.710170961541116,0.08431317029366558,238,46
700,2.0,0.02947601800406119,0.054344117001164705,0.5423957482542123,0.0,1,700
700,3.0,0.027012810001906473,0.046918790001655,0.5757354356528298,0.005837999768788271,2,699
700,5.0,0.029638552005053498,0.04335661899676779,0.6835992448410941,0.008157071359844666,5,696
700,7.0,0.03391544699843507,0.0468132979949587,0.7244831800162298,0.044142041464284146,31,658
700,10.0,0.03244363900012104,0.04749960499611916,0.6830296589365694,0.046214384905753476,66,589
700,15.0,0.04030337300355313,0.03267742299794918,1.2333706059404548,0.05992788107747925,132,377
700,20.0,0.03337964799720794,0.03848569900583243,0.8673260161430177,0.08290554472132619,239,141
1000,2.0,0.07216108899592655,0.11129873499885434,0.6483549790271141,0.0,1,1000
1000,3.0,0.05947834299877286,0.11287908499798505,0.5269208463182934,0.016030366846060167,4,997
1000,5.0,0.05678465899836738,0.15276037500007078,0.3717237470668756,0.019283342393354247,12,986
1000,7.0,0.06062971999926958,0.10401448099582922,0.5828969141489128,0.023102868188887214,26,966
1000,10.0,0.07640649400127586,0.08585156299523078,0.8899837269767632,0.040474939543307005,60,901
1000,15.0,0.08684986300067976,0.08900870400248095,0.9757457315439508,0.05105975358603688,131,742
1000,20.0,0.05806072499399306,0.06800041499809595,0.8538289802439999,0.07650793778707374,241,410
1500,2.0,0.18452400599926477,0.2901730470039183,0.6359102194518192,0.0,1,1500
1500,3.0,0.18488457300554728,0.3230857829985325,0.572246080559933,0.012416275346081621,4,1497
1500,5.0,0.18951703600032488,0.2796643870024127,0.6776588110902011,0.021059423978253566,11,1486
1500,7.0,0.18136363699886715,0.27162703999783844,0.6676936029649714,0.02423372539153971,26,1470
1500,10.0,0.18533629100420512,0.25689258099737344,0.7214544315941147,0.03546553459215441,59,1391
1500,15.0,0.19452510199334938,0.2269386619955185,0.8571703925759058,0.04125426973055739,135,1276
1500,20.0,0.19648720099939965,0.19080278200272005,1.0297921180027583,0.06152259681279741,239,946
2000,2.0,0.3834291309976834,0.5586075019964483,0.6864016856689499,0.0,1,2000
2000,3.0,0.4101569109989214,0.93307492799795,0.4395755353527434,0.008381890740106443,3,1998
2000,5.0,0.5664879059986561,1.064032985996164,0.5323969401834864,0.008351233651893391,8,1993
2000,7.0,0.7664208229980431,0.7444963970046956,1.0294486663488973,0.020260880632034975,22,1970
2000,10.0,0.7373394520036527,0.951007607000065,0.7753244522718127,0.023745617283046548,48,1931
2000,15.0,0.5918161609952222,0.5123788450000575,1.155036291545479,0.03570016002427078,125,1783
2000,20.0,0.5932372320021386,0.8489274910025415,0.6988078938303137,0.05371179796801763,244,1498
