n,Mag Direct,sd_dir,Mag CG,sd_cg,GE full,sd_gef,GE cached,sd_gec,GE NVD,sd_nvd
20,0.0001228284010721836,0.00014530282670166406,0.00048150479997275395,0.00019686375025452764,0.0015846695998334326,0.0005405777946273964,7.451400597346946e-06,3.5904357173440735e-06,0.0011003037994669284,0.00028690031528137645
50,0.00027092539967270567,6.751205145406795e-05,0.0020029432002047543,0.0005064678403620757,0.01392903799933265,0.013815152102381571,2.8295400261413307e-05,1.5238623960416166e-05,0.004574191599385813,0.0004704364999061617
100,0.006947870199655881,0.012158254671705133,0.003029330599383684,9.985414044198401e-05,0.013940545000514249,0.004702493335733349,2.704399958020076e-05,1.3344618182783964e-05,0.010696222999831662,0.00029554048668574835
150,0.06877293180077686,0.08184751303355273,0.004347285400581313,0.0002759510656203738,0.02428975939983502,0.0010952075154967364,4.246239914209582e-05,2.5751960644472032e-05,0.024839795799198327,0.0009096379426963769
200,0.015079482200235361,0.020807767873230295,0.016092157200910152,0.012267027558150654,0.05976751619964489,0.036525285286271914,4.884200097876601e-05,2.928438635229441e-05,0.04359096240004874,0.0047049950316887645
250,0.012037919199792668,0.008785581640853428,0.009517502200469607,0.00023110185254732827,0.11910247700070613,0.09247436167967732,6.71296009386424e-05,3.69930079995855e-05,0.05455831019789912,0.000918310766028722
300,0.014655369801039342,0.017493894639774497,0.01196732579919626,0.00028004903941215766,0.07759570240014,0.004333813465564918,9.84582002274692e-05,6.747772685458502e-05,0.07940039120003348,0.003933955489415058
