epoch,val_accuracy,val_loss,val_auc,val_micro,val_macro,val_cce,val_mse
1,0.43666666666666665,1.4729776052718466,0.5336610078811646,0.43666666746139526,0.12308524549007416,2.1693248190778367,0.08691171794495683
2,0.5003333333333333,1.4573344778507313,0.6162238717079163,0.500333309173584,0.13814710080623627,2.119383213367868,0.08564039525833536
3,0.5323333333333333,1.444615181456221,0.6916866302490234,0.5323333144187927,0.15666383504867554,2.0688966918498912,0.08427422073610286
4,0.5456666666666666,1.4330249428749084,0.7536710500717163,0.5456666946411133,0.17219293117523193,2.0141670424887477,0.08268052054212448
5,0.5636666666666666,1.421305515664689,0.8001243472099304,0.5636666417121887,0.2066834568977356,1.9524623219003068,0.08072911955891772
6,0.5763333333333334,1.4082673280797107,0.8342111706733704,0.5763333439826965,0.23148152232170105,1.8792136730031763,0.07817915969706596
7,0.59,1.3922971537772646,0.8588804006576538,0.5899999737739563,0.25244903564453125,1.7928160099273032,0.0748475764660125
8,0.592,1.3710559162687748,0.8755121231079102,0.5920000076293945,0.24684685468673706,1.6874818015605846,0.07029978915097866
9,0.591,1.3412877765107662,0.883608341217041,0.5910000205039978,0.23957109451293945,1.5635092930590853,0.06435326574013588
10,0.5926666666666667,1.3024057543024103,0.8847047090530396,0.5926666855812073,0.23936346173286438,1.4395718333568979,0.05811201047865634
11,0.59,1.2589379828026954,0.8821690678596497,0.5899999737739563,0.22990921139717102,1.338281604837864,0.05327366898827096
12,0.5953333333333334,1.2209336364522894,0.8806808590888977,0.5953333377838135,0.23948314785957336,1.2722518361629325,0.050643981969419945
13,0.602,1.1915106557785196,0.8820313215255737,0.6019999980926514,0.24877560138702393,1.2311982017882326,0.049349306507947596
14,0.607,1.1678155622583755,0.8856471180915833,0.6069999933242798,0.2552865147590637,1.199864631003522,0.04845715666863513
15,0.6186666666666667,1.1471630423627002,0.890670120716095,0.6186666488647461,0.27514225244522095,1.1711367774516979,0.047589035031009225
16,0.6303333333333333,1.1275336273173069,0.8961176872253418,0.6303333044052124,0.2970612049102783,1.1424448521847421,0.04666695351454806
17,0.641,1.1080646147119237,0.9015119671821594,0.640999972820282,0.31447097659111023,1.1143285835042913,0.04571560116365869
