epoch,val_accuracy,val_loss,val_auc,val_micro,val_macro,val_cce,val_mse
1,0.5016666666666667,1.690446376800537,0.7190409898757935,0.5016666650772095,0.06814804673194885,1.690446376800537,0.06885531413903896
2,0.524,1.4668943285942078,0.8168700933456421,0.5239999890327454,0.1339595764875412,1.4668943285942078,0.05923930920184927
3,0.5726666666666667,1.3350163850378483,0.8588606119155884,0.5726666450500488,0.21894524991512299,1.3350163850378483,0.054286946562376426
4,0.6106666666666667,1.2389762496694605,0.8830716013908386,0.6106666922569275,0.2890385389328003,1.2389762496694605,0.0509982750691632
5,0.6406666666666667,1.1615761848206216,0.8977043032646179,0.640666663646698,0.3586767315864563,1.1615761848206216,0.04847916397959628
6,0.667,1.0946156509379124,0.908141016960144,0.6669999957084656,0.4186343252658844,1.0946156509379124,0.04629402679014713
7,0.692,1.0349098139620843,0.9157328605651855,0.6919999718666077,0.47527194023132324,1.0349098139620843,0.044282675403705306
8,0.7103333333333334,0.9813988297543628,0.922191321849823,0.7103333473205566,0.5126960277557373,0.9813988297543628,0.04236442161763602
9,0.7246666666666667,0.9343243070105289,0.9269841909408569,0.7246666550636292,0.5432249307632446,0.9343243070105289,0.040651698676037025
10,0.7386666666666667,0.8934435812716789,0.932080090045929,0.7386666536331177,0.5709534287452698,0.8934435812716789,0.03904243263396177
11,0.75,0.8585353449304053,0.9360088109970093,0.75,0.5913511514663696,0.8585353449304053,0.03768696196060231
12,0.7526666666666667,0.8282552707068463,0.9393215179443359,0.7526666522026062,0.5960032343864441,0.8282552707068463,0.036508157235035234
13,0.7603333333333333,0.8027552670620858,0.9421836733818054,0.7603333592414856,0.6090129017829895,0.8027552670620858,0.03550641462603148
14,0.7646666666666667,0.7805035063560973,0.9445778131484985,0.7646666765213013,0.6176986694335938,0.7805035063560973,0.03464210489170348
15,0.7713333333333333,0.7614214892717118,0.946811854839325,0.7713333368301392,0.6284137964248657,0.7614214892717118,0.033893099391555534
16,0.7733333333333333,0.7443489885710656,0.9485965967178345,0.7733333110809326,0.6316630840301514,0.7443489885710656,0.03323745578923758
17,0.775,0.7280793117081865,0.9504342079162598,0.7749999761581421,0.6343014240264893,0.7280793117081865,0.03261485947494177
18,0.7793333333333333,0.7152402543641151,0.9520101547241211,0.7793333530426025,0.6412602663040161,0.7152402543641151,0.032103130504726726
19,0.7816666666666666,0.7020185748313336,0.9535466432571411,0.7816666960716248,0.6448403000831604,0.7020185748313336,0.03159312337161379
20,0.786,0.6903045567426276,0.9548157453536987,0.7860000133514404,0.651515781879425,0.6903045567426276,0.031139660537480674
21,0.7916666666666666,0.679414450171146,0.9560238122940063,0.7916666865348816,0.6596653461456299,0.679414450171146,0.030704027378654228
22,0.793,0.6692249689330446,0.9572324752807617,0.7929999828338623,0.6620745658874512,0.6692249689330446,0.03030028624182686
23,0.798,0.6595261065249748,0.9582931399345398,0.7979999780654907,0.6688464879989624,0.6595261065249748,0.029926219529056167
24,0.7986666666666666,0.651289589861606,0.9593254327774048,0.7986666560173035,0.6700760126113892,0.651289589861606,0.02961088104688741
25,0.8006666666666666,0.6423912596829394,0.9603233337402344,0.8006666898727417,0.6725385189056396,0.6423912596829394,0.02925279138094567
26,0.8026666666666666,0.632887084750419,0.9613604545593262,0.8026666641235352,0.6757276654243469,0.632887084750419,0.028835079652514865
27,0.8056666666666666,0.6249890137226024,0.9622203707695007,0.8056666851043701,0.6809561252593994,0.6249890137226024,0.02852467696202245
28,0.8076666666666666,0.6176973733496158,0.9629971385002136,0.8076666593551636,0.6834630966186523,0.6176973733496158,0.02821129488144466
